Date,y_actual,prob_up,pred_direction,signal,signal_correct
2025-02-12,1,0.47387039730967767,Down,Sell,0.0
2025-02-13,0,0.5084585839694767,Down,Hold,
2025-02-14,1,0.5253593937524718,Up,Buy,1.0
2025-02-18,0,0.49552345378096113,Down,Hold,
2025-02-19,1,0.49713785855187514,Down,Hold,
2025-02-20,0,0.4856701426651214,Down,Hold,
2025-02-21,1,0.48522440900447866,Down,Hold,
2025-02-24,0,0.5056875052712583,Down,Hold,
2025-02-25,1,0.5142464436386708,Up,Hold,
2025-02-26,0,0.4992685868756239,Down,Hold,
2025-02-27,0,0.4922068572056955,Down,Hold,
2025-02-28,1,0.5195904731675475,Up,Hold,
2025-03-03,1,0.4909204664083564,Down,Hold,
2025-03-04,1,0.4830475813134487,Down,Hold,
2025-03-05,1,0.49481759032546063,Down,Hold,
2025-03-06,0,0.49525073407699977,Down,Hold,
2025-03-07,0,0.5119551137603913,Up,Hold,
2025-03-10,1,0.4921203833018972,Down,Hold,
2025-03-11,1,0.4923214453518639,Down,Hold,
2025-03-12,1,0.4941461647108129,Down,Hold,
2025-03-13,1,0.5099863742290671,Down,Hold,
2025-03-14,1,0.4889364486880825,Down,Hold,
2025-03-17,1,0.494055596269896,Down,Hold,
2025-03-18,1,0.5026073650438622,Down,Hold,
2025-03-19,1,0.5082044889509278,Down,Hold,
2025-03-20,0,0.5068842071020648,Down,Hold,
2025-03-21,0,0.5187747146061094,Up,Hold,
2025-03-24,1,0.5248077321723875,Up,Buy,1.0
2025-03-25,0,0.46400928538319897,Down,Sell,1.0
2025-03-26,1,0.49211639760872633,Down,Hold,
2025-03-27,1,0.5254535684989093,Up,Buy,1.0
2025-03-28,1,0.5021326163114502,Down,Hold,
2025-03-31,0,0.506243917416724,Down,Hold,
2025-04-01,1,0.5052065960396019,Down,Hold,
2025-04-02,0,0.49337002368227373,Down,Hold,
2025-04-03,0,0.5057626964624713,Down,Hold,
2025-04-04,0,0.4858329992546757,Down,Hold,
2025-04-07,1,0.4765267308684336,Down,Sell,0.0
2025-04-08,0,0.47521092523198943,Down,Sell,1.0
2025-04-09,0,0.47765530460926203,Down,Sell,1.0
2025-04-10,1,0.4733096811088522,Down,Sell,0.0
2025-04-11,0,0.48341640465415187,Down,Hold,
2025-04-14,1,0.5064956694088979,Down,Hold,
2025-04-15,0,0.4703041184907466,Down,Sell,1.0
2025-04-16,0,0.4991871313599681,Down,Hold,
2025-04-17,0,0.5012214334274984,Down,Hold,
2025-04-21,0,0.46952232303628105,Down,Sell,1.0
2025-04-22,0,0.4828881468410466,Down,Hold,
2025-04-23,1,0.5019815754084607,Down,Hold,
2025-04-24,0,0.4850032995688283,Down,Hold,
2025-04-25,1,0.5179446857796144,Up,Hold,
2025-04-28,0,0.5170323548805537,Up,Hold,
2025-04-29,0,0.478826946044693,Down,Sell,1.0
2025-04-30,0,0.5150968982100658,Up,Hold,
2025-05-01,1,0.4927419521940703,Down,Hold,
2025-05-02,0,0.4917657728389493,Down,Hold,
2025-05-05,0,0.5185096828754912,Up,Hold,
2025-05-06,0,0.5228252746829646,Up,Buy,0.0
2025-05-07,0,0.5190359681017345,Up,Hold,
2025-05-08,1,0.5055537139882699,Down,Hold,
2025-05-09,0,0.47377898763664456,Down,Sell,1.0
2025-05-12,1,0.5307178067905678,Up,Buy,1.0
2025-05-13,0,0.512531239643376,Up,Hold,
2025-05-14,1,0.49884143202535336,Down,Hold,
2025-05-15,0,0.5091064068238557,Down,Hold,
2025-05-16,1,0.5166197254844626,Up,Hold,
2025-05-19,1,0.5226236150773101,Up,Buy,1.0
2025-05-20,1,0.4878468168668925,Down,Hold,
2025-05-21,0,0.5014833093685077,Down,Hold,
2025-05-22,0,0.49779079662890874,Down,Hold,
2025-05-23,0,0.5312659316729512,Up,Buy,0.0
2025-05-27,0,0.4755048906324351,Down,Sell,1.0
2025-05-28,1,0.5169143895844456,Up,Hold,
2025-05-29,0,0.47668765785029316,Down,Sell,1.0
2025-05-30,0,0.4843680633267196,Down,Hold,
2025-06-02,0,0.526155075797965,Up,Buy,0.0
2025-06-03,1,0.4949542573440677,Down,Hold,
2025-06-04,0,0.5026353945543409,Down,Hold,
2025-06-05,0,0.48711435616213244,Down,Hold,
2025-06-06,1,0.5354692746489977,Up,Buy,1.0
2025-06-09,0,0.47720957867685926,Down,Sell,1.0
2025-06-10,1,0.4869842397789319,Down,Hold,
2025-06-11,1,0.5353071275354125,Up,Buy,1.0
2025-06-12,1,0.4891765729145418,Down,Hold,
2025-06-13,0,0.5099287012495002,Down,Hold,
2025-06-16,0,0.5006251914885108,Down,Hold,
2025-06-17,1,0.5193160543888665,Up,Hold,
2025-06-18,0,0.4814927602236155,Down,Hold,
2025-06-20,1,0.5129173351781824,Up,Hold,
2025-06-23,0,0.5210366146890216,Up,Buy,0.0
2025-06-24,1,0.48836643696806137,Down,Hold,
2025-06-25,1,0.5045302175014276,Down,Hold,
2025-06-26,0,0.48942389538296244,Down,Hold,
2025-06-27,1,0.5358701628467925,Up,Buy,1.0
2025-06-30,1,0.5026257588434413,Down,Hold,
2025-07-01,1,0.48806549854910714,Down,Hold,
2025-07-02,0,0.5038266241181651,Down,Hold,
2025-07-03,1,0.5061199428141195,Down,Hold,
2025-07-04,0,0.5003469991499784,Down,Hold,
2025-07-07,0,0.497370759728155,Down,Hold,
2025-07-08,1,0.5420272557558125,Up,Buy,1.0
2025-07-09,1,0.5122843335759854,Up,Hold,
2025-07-10,1,0.4613296731942432,Down,Sell,0.0
2025-07-11,0,0.4734210386055831,Down,Sell,1.0
2025-07-14,0,0.5118539375798934,Up,Hold,
2025-07-15,1,0.513694637440176,Up,Hold,
2025-07-16,0,0.5026498628903677,Down,Hold,
2025-07-17,1,0.5139530683396735,Up,Hold,
2025-07-18,1,0.48919258082621736,Down,Hold,
2025-07-21,1,0.4904641988248935,Down,Hold,
2025-07-22,0,0.5058797015722122,Down,Hold,
2025-07-23,0,0.4913121933257272,Down,Hold,
2025-07-24,0,0.5335454920367341,Up,Buy,0.0
2025-07-25,0,0.48031878180481186,Down,Hold,
2025-07-28,1,0.5075856409371431,Down,Hold,
2025-07-29,0,0.48500173723133305,Down,Hold,
2025-07-30,0,0.5072031647289069,Down,Hold,
2025-07-31,1,0.5129816836670558,Up,Hold,
2025-08-01,1,0.48222336972263036,Down,Hold,
2025-08-04,1,0.49793629067596124,Down,Hold,
2025-08-05,0,0.4863406026535236,Down,Hold,
2025-08-06,1,0.5011562322724094,Down,Hold,
2025-08-07,1,0.5031219533167807,Down,Hold,
2025-08-08,0,0.4987582952117138,Down,Hold,
2025-08-11,0,0.5404486803206753,Up,Buy,0.0
2025-08-12,1,0.5149842400856833,Up,Hold,
2025-08-13,0,0.5117802605023262,Up,Hold,
2025-08-14,1,0.5069061817083887,Down,Hold,
2025-08-15,0,0.5163144638126554,Up,Hold,
2025-08-18,0,0.5009227140943481,Down,Hold,
2025-08-19,1,0.5230209401732439,Up,Buy,1.0
2025-08-20,0,0.5044400730744139,Down,Hold,
2025-08-21,1,0.4746163545510595,Down,Sell,0.0
2025-08-22,0,0.5048690715424444,Down,Hold,
2025-08-25,1,0.46781035636502405,Down,Sell,0.0
2025-08-26,1,0.48919523650701063,Down,Hold,
2025-08-27,1,0.5094751076045396,Down,Hold,
2025-08-28,1,0.49274476872354805,Down,Hold,
2025-08-29,0,0.5125172230555254,Up,Hold,
2025-09-02,1,0.5071933788666148,Down,Hold,
2025-09-03,0,0.521735358797975,Up,Buy,0.0
2025-09-04,1,0.508588354013456,Down,Hold,
2025-09-05,1,0.5152027068774128,Up,Hold,
2025-09-08,1,0.49909429350075446,Down,Hold,
2025-09-09,1,0.5017451567137285,Down,Hold,
2025-09-10,0,0.49402699700316566,Down,Hold,
2025-09-11,1,0.5232546831037643,Up,Buy,1.0
2025-09-12,1,0.48905819500481523,Down,Hold,
2025-09-15,1,0.499571963120581,Down,Hold,
2025-09-16,0,0.5103277401407927,Up,Hold,
2025-09-17,0,0.4996086946478826,Down,Hold,
2025-09-18,1,0.5350246749671467,Up,Buy,1.0
2025-09-19,1,0.48333685329180875,Down,Hold,
2025-09-22,1,0.489927778475365,Down,Hold,
2025-09-23,0,0.5043476782515169,Down,Hold,
2025-09-24,1,0.5189660028876958,Up,Hold,
2025-09-25,1,0.5105446838565522,Up,Hold,
2025-09-26,1,0.4773241418632513,Down,Sell,0.0
2025-09-29,1,0.48906649165635435,Down,Hold,
2025-09-30,1,0.47761909250968887,Down,Sell,0.0
2025-10-01,0,0.4972912150812419,Down,Hold,
2025-10-02,1,0.5115597185387933,Up,Hold,
2025-10-03,1,0.5107688341224138,Up,Hold,
2025-10-06,1,0.4972270966543542,Down,Hold,
2025-10-07,1,0.4933672253761186,Down,Hold,
2025-10-08,0,0.48672393454508,Down,Hold,
2025-10-09,1,0.5210536842954627,Up,Buy,1.0
2025-10-10,0,0.4929028250470205,Down,Hold,
2025-10-13,1,0.5076734815881204,Down,Hold,
2025-10-14,1,0.4777056081863617,Down,Sell,0.0
2025-10-15,0,0.4789645952452844,Down,Sell,1.0
2025-10-16,0,0.5089700857617518,Down,Hold,
2025-10-17,0,0.5011313618853918,Down,Hold,
2025-10-20,0,0.5161865183166143,Up,Hold,
2025-10-21,0,0.5019581596593679,Down,Hold,
2025-10-22,1,0.5376185297431643,Up,Buy,1.0
2025-10-23,0,0.5292546252215988,Up,Buy,0.0
2025-10-24,0,0.48604811380315294,Down,Hold,
2025-10-27,0,0.5091379302504158,Down,Hold,
2025-10-28,1,0.4975796722037394,Down,Hold,
2025-10-29,1,0.500225537229331,Down,Hold,
2025-10-30,0,0.4759608315368658,Down,Sell,1.0
2025-10-31,1,0.5326460563912234,Up,Buy,1.0
2025-11-03,0,0.500028309281312,Down,Hold,
2025-11-04,1,0.48543088474028034,Down,Hold,
2025-11-05,0,0.5141982178427543,Up,Hold,
2025-11-06,1,0.4806280258130721,Down,Hold,
2025-11-07,0,0.48716085327323383,Down,Hold,
2025-11-10,0,0.519903727409699,Up,Hold,
2025-11-11,0,0.5002954994155534,Down,Hold,
2025-11-12,0,0.5156970529860705,Up,Hold,
2025-11-13,0,0.5078996080120773,Down,Hold,
2025-11-14,0,0.532660511021552,Up,Buy,0.0
2025-11-17,0,0.49667179686464397,Down,Hold,
2025-11-18,1,0.5158832578214368,Up,Hold,
2025-11-19,0,0.48649397906508596,Down,Hold,
2025-11-20,1,0.4926011394987997,Down,Hold,
2025-11-21,1,0.5101487119271928,Up,Hold,
2025-11-24,1,0.5040841928562928,Down,Hold,
2025-11-25,1,0.5017391518671218,Down,Hold,
2025-11-26,1,0.513754472731479,Up,Hold,
2025-11-28,1,0.5047219832595646,Down,Hold,
2025-12-01,0,0.49167375741143243,Down,Hold,
2025-12-02,1,0.5348750897592561,Up,Buy,1.0
2025-12-03,1,0.5182343587517833,Up,Hold,
2025-12-04,1,0.48049132695907953,Down,Hold,
2025-12-05,0,0.5138419073237465,Up,Hold,
2025-12-08,1,0.5317392421910101,Up,Buy,1.0
2025-12-09,0,0.5230238692806658,Up,Buy,0.0
2025-12-10,1,0.5168421467504806,Up,Hold,
2025-12-11,1,0.5052795378049487,Down,Hold,
2025-12-12,1,0.4742546272737716,Down,Sell,0.0
2025-12-15,0,0.49196672531045876,Down,Hold,
2025-12-16,1,0.499795560203985,Down,Hold,
2025-12-17,0,0.4927789766814996,Down,Hold,
2025-12-18,1,0.5031162295774796,Down,Hold,
2025-12-19,1,0.4916400021421418,Down,Hold,
2025-12-22,1,0.4922142638048344,Down,Hold,
2025-12-23,0,0.5003706119792178,Down,Hold,
2025-12-24,1,0.4951834708374419,Down,Hold,
2025-12-26,0,0.503777081060046,Down,Hold,
2025-12-29,1,0.5302997287414216,Up,Buy,1.0
2025-12-30,0,0.5089326376354176,Down,Hold,
2025-12-31,0,0.5044407044388165,Down,Hold,
2026-01-02,0,0.5152871591279928,Up,Hold,
2026-01-05,1,0.480665714529286,Down,Hold,
2026-01-06,0,0.4753915134574435,Down,Sell,1.0
2026-01-07,1,0.5181241594476803,Up,Hold,
2026-01-08,1,0.5067641103250574,Down,Hold,
2026-01-09,0,0.49040439201029745,Down,Hold,
2026-01-12,0,0.4797057068292702,Down,Sell,1.0
2026-01-13,1,0.5124155609729791,Up,Hold,
2026-01-14,0,0.521110766693183,Up,Buy,0.0
2026-01-15,0,0.5053699635480681,Down,Hold,
2026-01-16,0,0.49906986455982993,Down,Hold,
2026-01-20,1,0.5015572638652851,Down,Hold,
2026-01-21,1,0.4946033953155949,Down,Hold,
2026-01-22,1,0.49631472932244414,Down,Hold,
2026-01-23,1,0.4797378124373588,Down,Sell,0.0
2026-01-26,1,0.49915437461046525,Down,Hold,
2026-01-27,0,0.5096969155913312,Down,Hold,
2026-01-28,1,0.4875374242382102,Down,Hold,
2026-01-29,0,0.5005152073376706,Down,Hold,
2026-01-30,0,0.5273711576594241,Up,Buy,0.0
2026-02-02,0,0.5075141533818747,Down,Hold,
2026-02-03,1,0.5000326801925079,Down,Hold,
2026-02-04,0,0.4686732772562469,Down,Sell,1.0
2026-02-05,1,0.5162882725486623,Up,Hold,
2026-02-06,1,0.514810249966123,Up,Hold,
2026-02-09,0,0.4721477049817923,Down,Sell,1.0
2026-02-10,1,0.47617229569257624,Down,Sell,0.0
2026-02-11,0,0.5134398435547487,Up,Hold,
2026-02-12,1,0.4944925703367859,Down,Hold,
2026-02-13,0,0.5098955058168111,Down,Hold,
2026-02-17,1,0.5062210458403302,Down,Hold,
2026-02-18,0,0.49935422840530475,Down,Hold,
2026-02-19,1,0.4966492728646599,Down,Hold,
2026-02-20,0,0.5039929531313722,Down,Hold,
2026-02-23,0,0.5098423122970641,Down,Hold,
2026-02-24,1,0.49847968303759105,Down,Hold,
2026-02-25,0,0.5081411980921028,Down,Hold,
2026-02-26,1,0.4868172259287271,Down,Hold,
2026-02-27,1,0.5071919295386386,Down,Hold,
2026-03-02,0,0.4834742253077886,Down,Hold,
2026-03-03,1,0.5111913359572356,Up,Hold,
2026-03-04,0,0.49902329757788594,Down,Hold,
2026-03-05,1,0.5097985622741885,Down,Hold,
2026-03-06,0,0.5011417477797534,Down,Hold,
2026-03-09,0,0.5117446963822605,Up,Hold,
2026-03-10,0,0.5120742112967046,Up,Hold,
2026-03-11,0,0.48007680923283574,Down,Sell,1.0
2026-03-12,0,0.5132526820054478,Up,Hold,
2026-03-13,0,0.4703491363903662,Down,Sell,1.0
2026-03-16,1,0.49077242956342143,Down,Hold,
2026-03-17,0,0.4906740254737289,Down,Hold,
2026-03-18,0,0.49205753885243625,Down,Hold,
2026-03-19,0,0.5208174509673609,Up,Buy,0.0
2026-03-20,0,0.5128615780588728,Up,Hold,
2026-03-23,0,0.5253704597177947,Up,Buy,0.0
2026-03-24,0,0.4829280061566164,Down,Hold,
2026-03-25,0,0.49690807573509965,Down,Hold,
2026-03-26,0,0.5086000330949648,Down,Hold,
2026-03-27,1,0.47563692909327365,Down,Sell,0.0
